0301_rg_0_sec_0,4,1,20.0,41783.94691930714,0.02,0.35106520112435646,38492.37002188023,0.02,0.35106520112435646,
0301_rg_0_sec_1,4,1,20.0,48178.55433266178,0.08,22.25416630145628,43224.98581396913,0.0,0.0,
0301_rg_0_sec_2,4,1,20.0,41687.52840662599,0.06,17.181763336366316,38233.371464717675,0.02,3.012911244554175,
0301_rg_0_sec_3,4,1,20.0,45691.623384116916,0.12,19.79362819287644,41021.08586876648,0.04,4.040454951714651,
0301_rg_1_sec_0,4,1,20.0,40501.898510580424,0.0,0.0,37990.18252024822,0.02,1.3674635738624374,
0301_rg_1_sec_1,4,1,20.0,44521.66995706718,0.0,0.0,39744.96567094283,0.0,0.0,
0301_rg_1_sec_2,4,1,20.0,45536.57446337297,0.04,47.44734792454675,38227.2807855533,0.04,47.44734792454675,
0301_rg_1_sec_3,4,1,20.0,54711.44880640862,0.04,123.51562185029476,44602.638011465,0.1,127.21912924979458,
0301_rg_2_sec_0,4,1,20.0,71767.01788826453,0.24,259.91825290720453,63814.38445912814,0.16,228.37647682526313,
0301_rg_2_sec_1,4,1,20.0,42770.528309405505,0.0,0.0,39929.5195427086,0.0,0.0,
0301_rg_2_sec_2,4,1,20.0,43594.846783856774,0.02,6.081196955593327,40886.22456273588,0.02,7.081196955593327,
0301_rg_2_sec_3,4,1,20.0,63415.81817054591,0.06,177.29085721816432,55430.76764218258,0.06,177.29085721816432,
0301_rg_2_sec_4,4,1,20.0,42369.128127257674,0.02,2.0017844309370503,32611.767718758485,0.0,0.0,
0301_rg_2_sec_5,4,1,20.0,41953.26091938558,0.0,0.0,37444.464156022776,0.0,0.0,
0301_rg_2_sec_6,4,1,20.0,44882.129547063225,0.0,0.0,39369.07142501455,0.0,0.0,
0301_rg_2_sec_7,4,1,20.0,47819.66153982004,0.04,7.810981286113247,43048.08449115928,0.04,5.810981256692003,
0301_rg_2_sec_8,4,1,20.0,40882.17240472572,0.06,26.957980042641893,30360.26394062215,0.04,17.351593273076432,
0301_rg_2_sec_9,4,1,20.0,41707.43730329784,0.0,0.0,39271.66265501765,0.0,0.0,
0301_rg_3_sec_0,4,1,20.0,53773.42536490119,0.14,107.24686701286942,49483.723965605925,0.16,73.17307874372352,
0301_rg_3_sec_1,4,1,20.0,80535.37274154025,0.28,318.7578760022699,66584.25288569707,0.22,204.64426907744667,
0301_rg_3_sec_10,4,1,20.0,43528.871055203475,0.12,14.222248399708747,42082.01960017735,0.1,14.120467287820588,
0301_rg_3_sec_11,4,1,20.0,44701.401779452164,0.06,31.24915593250239,39488.01939011362,0.02,11.333268298520807,
0301_rg_3_sec_12,4,1,20.0,48711.582561187504,0.06,41.11054329697333,44278.540502861055,0.06,41.11054329697333,
0301_rg_3_sec_13,4,1,20.0,54476.278874438714,0.12,58.594007106804156,46127.77815580854,0.06,12.573177336247682,
0301_rg_3_sec_14,4,1,20.0,66192.04758224783,0.2,229.717630648388,34647.57727899444,0.06,32.95047833498327,
0301_rg_3_sec_15,4,1,20.0,39123.08301969686,0.02,1.3665821301231063,36323.29434351327,0.02,1.3665821301231063,
0301_rg_3_sec_16,4,1,20.0,45727.56656251706,0.12,17.453991506371608,43413.00614456948,0.1,12.232345428239682,
0301_rg_3_sec_17,4,1,20.0,44198.2245050486,0.06,0.5629866620416806,43633.29793628892,0.04,0.45232880328160263,
0301_rg_3_sec_2,4,1,20.0,65913.95247700212,0.3,183.32927966744353,52266.50656397421,0.2,81.14340879415056,
0301_rg_3_sec_3,4,1,20.0,50167.120754207615,0.04,73.20016107017113,47239.68347461072,0.04,67.6668276256222,
0301_rg_3_sec_4,4,1,20.0,40504.6897310079,0.04,5.814793087128578,39525.12784782257,0.02,4.6138980333353175,
0301_rg_3_sec_5,4,1,20.0,55618.61088758224,0.16,93.2390614761182,43440.82186229736,0.06,60.38996057651309,
0301_rg_3_sec_6,4,1,20.0,70458.34288719395,0.18,219.47469662351688,55384.99547623282,0.04,104.86264529866348,
0301_rg_3_sec_7,4,1,20.0,58344.57144504911,0.12,98.03887300052509,42110.381131412854,0.08,5.534983229430509,
0301_rg_3_sec_8,4,1,20.0,83290.89119218112,0.26,361.75360070890355,62015.50433476787,0.16,255.08624046391918,
0301_rg_3_sec_9,4,1,20.0,46260.44883496498,0.08,47.65460287731308,42548.45200579089,0.08,47.65460287731308,
0301_rg_4_sec_0,4,1,20.0,69022.80115381732,0.22,244.5499465399708,57163.647087751866,0.14,209.78864450517455,
0301_rg_4_sec_1,4,1,20.0,44473.18508680646,0.02,30.651581644608083,36724.086156350924,0.02,30.651581644608083,
0301_rg_4_sec_2,4,1,20.0,47403.50386095545,0.06,17.3655880926367,43752.262974579906,0.04,10.726943949668453,
0301_rg_5_sec_0,4,1,20.0,44376.572876642196,0.0,0.0,39759.536088234134,0.0,0.0,
0301_rg_5_sec_1,4,1,20.0,43451.03698353183,0.04,1.910604511628776,40093.231428125415,0.04,3.910604524739483,
