0301_rg_0_sec_0,4,1,10,42481.46996,0.02,5.233858985,39231.48554,0,0
0301_rg_0_sec_0,4,1,15,41758.04835,0,0,39152.03374,0.02,1.351065203
0301_rg_0_sec_0,4,1,20,42527.63749,0.02,6.796527697,39887.45445,0.02,1.351065228
0301_rg_0_sec_0,4,1,25,41729.65228,0,0,38767.73904,0,0
0301_rg_0_sec_0,4,1,30,41712.76127,0,0,38723.87529,0,0
0301_rg_0_sec_1,4,1,10,48802.26104,0.08,27.25288826,44312.02709,0.02,4.928283886
0301_rg_0_sec_1,4,1,15,49385.66529,0.06,32.16892526,44126.48601,0.02,5.34998317
0301_rg_0_sec_1,4,1,20,53300.71805,0.1,64.83392928,44416.0621,0.06,18.18320303
0301_rg_0_sec_1,4,1,25,51017.21814,0.14,45.22409182,43738.46826,0.02,2.494274002
0301_rg_0_sec_1,4,1,30,46475.46267,0.04,8.271502473,43251.59648,0,0
0301_rg_0_sec_2,4,1,10,41789.29813,0.08,17.42027456,38787.50994,0.04,3.048542836
0301_rg_0_sec_2,4,1,15,41714.04024,0.06,17.18176334,38569.77577,0.02,3.012911245
0301_rg_0_sec_2,4,1,20,41664.42239,0.06,17.18176334,38669.61502,0.06,3.31607931
0301_rg_0_sec_2,4,1,25,41624.2016,0.06,17.18176334,38324.32762,0.02,3.012911245
0301_rg_0_sec_2,4,1,30,43082.75013,0.14,27.19610944,38865.08277,0.04,4.187269177
0301_rg_0_sec_3,4,1,10,45677.45744,0.12,19.79362819,41657.04587,0.06,11.84379916
0301_rg_0_sec_3,4,1,15,45676.31009,0.12,19.79362819,42508.63247,0.02,19.29733068
0301_rg_0_sec_3,4,1,20,44141.06813,0.06,6.909270844,40300.5417,0.04,1.384256344
0301_rg_0_sec_3,4,1,25,44692.04977,0.08,11.37537196,40888.42109,0.08,8.613960705
0301_rg_0_sec_3,4,1,30,45674.21985,0.12,19.79362819,40637.15835,0.06,4.909270819
0301_rg_1_sec_0,4,1,10,40482.21449,0,0,36615.85796,0,0
0301_rg_1_sec_0,4,1,15,40545.19263,0,0,36762.45246,0,0
0301_rg_1_sec_0,4,1,20,40510.70394,0,0,37808.52361,0,0
0301_rg_1_sec_0,4,1,25,40503.798,0,0,36994.47642,0,0
0301_rg_1_sec_0,4,1,30,40518.86016,0.02,0.026661585,36394.35368,0.02,0.026661585
0301_rg_1_sec_1,4,1,10,44522.24056,0,0,44522.24056,0,0
0301_rg_1_sec_1,4,1,15,44524.94774,0,0,39622.42939,0,0
0301_rg_1_sec_1,4,1,20,44544.78782,0,0,39683.53048,0,0
0301_rg_1_sec_1,4,1,25,44535.78119,0,0,40016.72761,0,0
0301_rg_1_sec_1,4,1,30,44533.41869,0,0,40093.40717,0,0
0301_rg_1_sec_2,4,1,10,47030.9546,0.06,59.23949121,40763.9103,0.06,51.29802348
0301_rg_1_sec_2,4,1,15,45571.22185,0.04,47.44734792,43452.88999,0.04,47.44734792
0301_rg_1_sec_2,4,1,20,49739.01679,0.14,81.07119591,38477.21615,0.08,55.3243419
0301_rg_1_sec_2,4,1,25,46300.51095,0.06,53.44346195,37411.11922,0.06,51.44346195
0301_rg_1_sec_2,4,1,30,45554.65463,0.04,47.44734792,36223.71079,0.08,48.11989168
0301_rg_1_sec_3,4,1,10,54677.63662,0.04,123.5156219,44487.79411,0.06,127.3384369
0301_rg_1_sec_3,4,1,15,54623.97311,0.04,123.5156219,44455.87681,0.04,126.5156219
0301_rg_1_sec_3,4,1,20,54706.47805,0.04,123.5156219,44061.81351,0.04,123.5156219
0301_rg_1_sec_3,4,1,25,54807.1572,0.1,124.156712,44440.56943,0.04,126.5156219
0301_rg_1_sec_3,4,1,30,54667.06194,0.06,123.5195791,44084.46282,0.04,123.5156219
0301_rg_2_sec_0,4,1,10,46359.22092,0.1,15.84180638,42726.63573,0.06,13.16702374
0301_rg_2_sec_0,4,1,15,44450.2233,0,0,39907.02791,0,0
0301_rg_2_sec_0,4,1,20,44404.69125,0,0,38947.03778,0,0
0301_rg_2_sec_0,4,1,25,44724.77708,0.08,2.267663621,39921.40965,0.06,3.484253514
0301_rg_2_sec_0,4,1,30,45083.31714,0.02,5.570552306,41434.18705,0.1,10.70577156
0301_rg_2_sec_1,4,1,10,43392.55669,0.06,1.910673754,40410.59181,0.04,1.910604512
0301_rg_2_sec_1,4,1,15,43616.17602,0.04,3.910604525,43616.17602,0.04,3.910604525
0301_rg_2_sec_1,4,1,20,43421.76192,0.04,1.910604512,41385.93353,0.04,1.910604512
0301_rg_2_sec_1,4,1,25,43376.72107,0.04,1.910604512,40381.37487,0.04,1.910604512
0301_rg_2_sec_1,4,1,30,43769.42786,0.04,5.32727119,40586.44835,0.04,5.32727119
0301_rg_0_sec_0,4,1,10,42481.46996,0.02,5.233858985,39231.48554,0,0
0301_rg_0_sec_0,4,1,15,41758.04835,0,0,39152.03374,0.02,1.351065203
0301_rg_0_sec_0,4,1,20,42527.63749,0.02,6.796527697,39887.45445,0.02,1.351065228
0301_rg_0_sec_0,4,1,25,41729.65228,0,0,38767.73904,0,0
0301_rg_0_sec_0,4,1,30,41712.76127,0,0,38723.87529,0,0
0301_rg_0_sec_1,4,1,10,48802.26104,0.08,27.25288826,45416.0621,0.02,4.928283886
0301_rg_0_sec_1,4,1,15,49385.66529,0.06,32.16892526,44126.48601,0.02,5.34998317
0301_rg_0_sec_1,4,1,20,53300.71805,0.1,64.83392928,45016.0621,0.06,18.18320303
0301_rg_0_sec_1,4,1,25,51017.21814,0.14,45.22409182,43738.46826,0.02,2.494274002
0301_rg_0_sec_1,4,1,30,46475.46267,0.04,8.271502473,43251.59648,0,0
0301_rg_0_sec_2,4,1,10,41789.29813,0.08,17.42027456,38787.50994,0.04,3.048542836
0301_rg_0_sec_2,4,1,15,41714.04024,0.06,17.18176334,38569.77577,0.02,3.012911245
0301_rg_0_sec_2,4,1,20,46664.42239,0.06,17.18176334,38669.61502,0.06,3.31607931
0301_rg_0_sec_2,4,1,25,41624.2016,0.06,17.18176334,38324.32762,0.02,3.012911245
0301_rg_0_sec_2,4,1,30,43082.75013,0.14,27.19610944,38865.08277,0.04,4.187269177
