,3c,3c+1d,4c,4c+1d,5c,5c+1d
0,72.87280662089086,61.17251712049445,24.629314776008314,18.47730579751326,362.1552280952537,5.1481503765296
1,154.18603294331456,73.07481714958246,68.24105960706872,67.49004576488421,402.65552761876097,61.49004568333272
2,454.9708265715982,391.5884524867319,359.5428714929762,340.5242715952812,330.9750664088185,330.9750664088185
3,596.847162721689,575.5791427168851,750.4413453281179,487.7096790422586,538.5917360391051,427.4771836987609
4,340.3284548460408,331.3284526029245,285.22293975569085,285.22293975569085,287.03573573551404,281.22293952396865
5,32.32668543396769,29.018321809262005,26.65581823626127,26.320038737719287,26.320038737719287,26.320038737719287
6,410.0396710494992,266.3880910768476,1011.4550458141912,147.3541873572568,162.2450960768033,125.1786997917832
7,111.33206125802266,51.57962550993123,35.82109392079377,30.748485739855568,34.246415257168266,30.12330553797088
8,291.2069877667081,260.738446914115,225.9936615073731,220.24434047083776,230.79272788905055,205.12091662217293
9,154.80728989207165,111.16934900845824,123.72856640276868,74.6555716554939,101.6806997833244,71.28967010464163
10,257.08197024655794,186.65279509297864,128.55641993413298,108.36776984673646,94.8699448157321,94.8699448157321
11,157.7146140257231,136.41885853795873,29.791091938093302,27.308659791919663,20.797497400910643,20.797497400910643
12,230.83015490843255,179.88673141160046,150.0683769082176,95.41916971766236,79.08748639596416,66.85339016643323
13,485.38038936837626,416.2857136441022,771.248595248933,277.45469866480755,287.27404453097915,267.8763010067483
14,183.2238758439676,101.84624422662571,114.671998918422,42.1943353797218,97.13415935170325,33.087520507616
15,362.2447277184256,250.88324425106023,748.5061690054848,233.4749967371041,195.9106869352056,183.11477441557287
16,258.62266189098574,239.8143602113916,105.8174237615266,46.867521040554905,48.023152130549605,40.24223887379003
17,1437.1753033529603,539.9657244331273,1347.868694066733,489.9077173653481,466.2109026109551,466.2109026109551
18,577.2185034913502,485.7285590952551,500.5866477159761,500.5866477159761,413.8418561622574,389.736407744348
19,563.4698620479005,534.959310056057,394.4184397874412,341.87779139196846,318.4337943838156,286.2516533704485
